id,match_id,season,match_timestamp,game_number,game_duration_seconds,blue_side_team,red_side_team,map_winner,bans,picks,pick_ban_sequence,blue_roster,red_roster
1,6700aecb-e154-4eb9-82c2-33ad73d93a79,1,2018-06-30 00:00:00.000000,1,851,Aether Main,White Rascals,Aether Main,"{""blue"": [""Fanny"", ""Grock""], ""red"": [""Helcurt"", ""Lancelot""]}","{""blue"": [""Alpha"", ""Jawhead"", ""Gusion"", ""Chou"", ""Angela""], ""red"": [""Martis"", ""Harley"", ""Vexana"", ""Akai"", ""Lolita""]}",[],[],[]
3,20f4b229-03d9-4c51-a40b-e15584612bf9,1,2018-06-30 00:00:00.000000,1,793,Digital Devils Pro,Digital Devils Demon Kings,Digital Devils Pro,"{""blue"": [""Chou"", ""Gusion""], ""red"": [""Helcurt"", ""Lancelot""]}","{""blue"": [""Karina"", ""Kagura"", ""Alpha"", ""Grock"", ""Rafaela""], ""red"": [""Martis"", ""Fanny"", ""Harley"", ""Angela"", ""Jawhead""]}",[],[],[]
5,b6e949a6-9075-4213-8237-0554d3f3f6d8,1,2018-06-30 00:00:00.000000,1,1363,Obsidian Gaming,Digital Devils No Limit,Obsidian Gaming,"{""blue"": [""Helcurt"", ""Martis""], ""red"": [""Gusion"", ""Lancelot""]}","{""blue"": [""Fanny"", ""Saber"", ""Kagura"", ""Grock"", ""Akai""], ""red"": [""Jawhead"", ""Alpha"", ""Cyclops"", ""Chou"", ""Angela""]}",[],[],[]
8,9db6bf56-1669-4dc1-a9d1-6c4b3dc170d2,1,2018-06-30 00:00:00.000000,1,757,Invictus Godz,Aether Valkyrie,Invictus Godz,"{""blue"": [""Helcurt"", ""Lancelot""], ""red"": [""Fanny"", ""Grock""]}","{""blue"": [""Jawhead"", ""Martis"", ""Harley"", ""Chou"", ""Lolita""], ""red"": [""Lapu-Lapu"", ""Gusion"", ""Kagura"", ""Hylos"", ""Akai""]}",[],[],[]
10,a31f5a96-99df-4c1a-aced-d1c0f3546509,1,2018-06-30 00:00:00.000000,1,1768,White Rascals,Digital Devils Demon Kings,Digital Devils Demon Kings,"{""blue"": [""Fanny"", ""Helcurt""], ""red"": [""Grock"", ""Akai""]}","{""blue"": [""Martis"", ""Harley"", ""Lancelot"", ""Jawhead"", ""Johnson""], ""red"": [""Alpha"", ""Kagura"", ""Gusion"", ""Lolita"", ""Akai""]}",[],[],[]
12,482917bf-1736-4931-acfe-e56fed4944cb,1,2018-06-30 00:00:00.000000,1,1473,Digital Devils No Limit,Aether Valkyrie,Aether Valkyrie,"{""blue"": [""Fanny"", ""Lancelot""], ""red"": [""Gusion"", ""Grock""]}","{""blue"": [""Helcurt"", ""Alpha"", ""Kagura"", ""Lolita"", ""Jawhead""], ""red"": [""Martis"", ""Saber"", ""Harley"", ""Chou"", ""Akai""]}",[],[],[]
2,6700aecb-e154-4eb9-82c2-33ad73d93a79,1,2018-06-30 00:00:00.000000,2,750,White Rascals,Aether Main,Aether Main,"{""blue"": [""Fanny"", ""Helcurt""], ""red"": [""Gusion"", ""Lancelot""]}","{""blue"": [""Argus"", ""Cyclops"", ""Vexana"", ""Jawhead"", ""Grock""], ""red"": [""Karrie"", ""Martis"", ""Kagura"", ""Chou"", ""Rafaela""]}",[],[],[]
4,20f4b229-03d9-4c51-a40b-e15584612bf9,1,2018-06-30 00:00:00.000000,2,658,Digital Devils Demon Kings,Digital Devils Pro,Digital Devils Pro,"{""blue"": [""Chou"", ""Helcurt""], ""red"": [""Gusion"", ""Lancelot""]}","{""blue"": [""Karina"", ""Saber"", ""Martis"", ""Angela"", ""Grock""], ""red"": [""Kagura"", ""Fanny"", ""Alpha"", ""Jawhead"", ""Akai""]}",[],[],[]
6,b6e949a6-9075-4213-8237-0554d3f3f6d8,1,2018-06-30 00:00:00.000000,2,749,Digital Devils No Limit,Obsidian Gaming,Digital Devils No Limit,"{""blue"": [""Fanny"", ""Chou""], ""red"": [""Grock"", ""Lancelot""]}","{""blue"": [""Helcurt"", ""Jawhead"", ""Harley"", ""Martis"", ""Hylos""], ""red"": [""Gusion"", ""Saber"", ""Kagura"", ""Akai"", ""Lolita""]}",[],[],[]
9,9db6bf56-1669-4dc1-a9d1-6c4b3dc170d2,1,2018-06-30 00:00:00.000000,2,895,Aether Valkyrie,Invictus Godz,Invictus Godz,"{""blue"": [""Chou"", ""Lancelot""], ""red"": [""Grock"", ""Fanny""]}","{""blue"": [""Alpha"", ""Gusion"", ""Martis"", ""Johnson"", ""Angela""], ""red"": [""Helcurt"", ""Jawhead"", ""Kagura"", ""Akai"", ""Lolita""]}",[],[],[]
