season,source_url,source_schema,team,total_kills,total_deaths,total_assists,total_gold,total_damage,total_lord_kills,total_tortoise_kills,total_towers_destroy,average_kills,average_deaths,average_assists,average_kda,average_teamfight,average_turtle_ratio,average_lord_ratio,average_game_length,total_hero_used
5,https://ph-mpl.com/s5/data,official_data_page,BLCK,257.0,253.0,588.0,971273.0,3336993.0,9.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,BREN,411.0,302.0,858.0,1215925.0,4701097.0,12.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,BSB,218.0,312.0,497.0,870423.0,3098899.0,11.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,EXE,390.0,351.0,803.0,1304744.0,4585584.0,21.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,GEEK,155.0,292.0,269.0,678920.0,2462979.0,3.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,ONIC,518.0,361.0,1043.0,1808681.0,6996798.0,20.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,SGD,356.0,256.0,786.0,1201885.0,4457553.0,15.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,STI,108.0,268.0,237.0,607092.0,2124264.0,0.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,SS,451.0,362.0,922.0,1500547.0,5863331.0,24.0,0.0,0.0,,,,,,,,,
5,https://ph-mpl.com/s5/data,official_data_page,ULVL,200.0,309.0,426.0,794652.0,2764750.0,5.0,0.0,0.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,BREN,650.0,443.0,1325.0,1776863.0,8413653.0,28.0,62.0,172.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,ONIC,610.0,560.0,1245.0,1864663.0,8500138.0,30.0,59.0,134.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,NXP,432.0,463.0,863.0,1452790.0,6597160.0,19.0,37.0,106.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,BNK,182.0,423.0,365.0,938369.0,3481796.0,3.0,18.0,27.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,BLCK,451.0,357.0,956.0,1785613.0,6989167.0,27.0,59.0,157.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,CIG,525.0,596.0,1024.0,1646873.0,7731075.0,18.0,32.0,109.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,BSB,339.0,538.0,691.0,1188685.0,5471202.0,6.0,23.0,55.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,AURA,468.0,468.0,889.0,1493299.0,6395325.0,20.0,53.0,120.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,EXE,643.0,658.0,1181.0,2038645.0,8803298.0,23.0,56.0,162.0,,,,,,,,,
6,https://ph-mpl.com/s6/data,official_data_page,OMG,586.0,381.0,1209.0,1955439.0,8383413.0,33.0,70.0,152.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,ONIC,542.0,463.0,1051.0,1941848.0,7347792.0,21.0,55.0,193.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,BREN,630.0,598.0,1264.0,2587498.0,10936320.0,46.0,96.0,287.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,AURA,642.0,641.0,1260.0,2399380.0,9081957.0,41.0,81.0,275.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,CIG,332.0,513.0,701.0,1466636.0,5799119.0,16.0,37.0,116.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,WORK,564.0,520.0,1076.0,2065245.0,8327695.0,30.0,52.0,238.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,BLCK,662.0,512.0,1529.0,2367218.0,9693142.0,44.0,91.0,319.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,EXE,730.0,798.0,1603.0,3229603.0,12173986.0,55.0,86.0,341.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,OMG,540.0,484.0,1121.0,1997965.0,7797571.0,26.0,58.0,207.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,NXP,597.0,560.0,1088.0,1952564.0,7829768.0,29.0,60.0,204.0,,,,,,,,,
7,https://ph-mpl.com/s7/data,official_data_page,LPE,321.0,483.0,606.0,1330594.0,5385812.0,13.0,31.0,127.0,,,,,,,,,
8,https://ph-mpl.com/s8/data,official_data_page,BREN,347.0,425.0,757.0,1685088.0,6197936.0,26.0,65.0,165.0,,,,,,,,,
8,https://ph-mpl.com/s8/data,official_data_page,BLCK,685.0,463.0,1530.0,2683171.0,10793065.0,61.0,90.0,363.0,,,,,,,,,
