patch_version,release_timestamp,hero_adjustments,item_adjustments
1.3.90,2019-06-27 00:00:00.000000,{},
1.3.96,2019-07-23 00:00:00.000000,{},
1.4.06,2019-08-20 00:00:00.000000,{},
1.4.20,2019-10-15 00:00:00.000000,"{""Ling"": ""NEW""}",
1.4.28,2019-11-19 00:00:00.000000,"{""Wanwan"": ""NEW"", ""Pharsa"": ""ADJUST""}",
1.4.36,2019-12-17 00:00:00.000000,"{""Silvanna"": ""NEW"", ""Hero Ban"": ""NEW""}",
1.4.44,2020-01-14 00:00:00.000000,{},
1.4.50,2020-02-11 00:00:00.000000,{},
1.4.60,2020-03-18 00:00:00.000000,"{""New Hero"": ""NEW"", ""Revamped Hero"": ""NEW""}",
1.4.70,2020-04-21 00:00:00.000000,{},
1.4.76,2020-05-12 00:00:00.000000,{},
1.4.86,2020-06-16 00:00:00.000000,"{""New Hero"": ""NEW"", ""Revamped Hero"": ""NEW""}",
1.4.94,2020-07-14 00:00:00.000000,"{""Khaleed"": ""NEW""}",
1.4.94B,2020-07-30 00:00:00.000000,{},
1.5.08,2020-08-25 00:00:00.000000,"{""Barats"": ""NEW"", ""Yuki"": ""NEW""}",
1.5.16,2020-09-20 00:00:00.000000,"{""Brody"": ""NEW""}",
1.5.16B,2020-10-11 00:00:00.000000,{},
1.5.24,2020-10-25 00:00:00.000000,"{""Benedetta"": ""NEW""}",
1.5.24B,2020-11-05 00:00:00.000000,{},
1.5.32,2020-11-24 00:00:00.000000,"{""Mathilda"": ""NEW""}",
1.5.38,2020-12-15 00:00:00.000000,{},
1.5.38B,2021-01-04 00:00:00.000000,{},
1.5.46,2021-01-12 00:00:00.000000,{},
1.5.52,2021-02-01 00:00:00.000000,{},
1.5.62,2021-03-15 00:00:00.000000,"{""New Hero"": ""NEW"", ""Revamped Hero"": ""NEW""}",
1.5.62B,2021-03-24 00:00:00.000000,{},
1.5.70,2021-04-12 00:00:00.000000,{},
1.5.78,2021-05-10 00:00:00.000000,"{""New Hero"": ""NEW"", ""Revamped Hero"": ""NEW""}",
1.5.88,2021-06-14 00:00:00.000000,{},
1.5.88B,2021-07-09 00:00:00.000000,{},
1.5.96,2021-07-19 00:00:00.000000,{},
1.6.10,2021-08-23 00:00:00.000000,{},
1.6.18,2021-09-21 00:00:00.000000,{},
1.6.18B,2021-09-27 00:00:00.000000,{},
1.6.26,2021-10-26 00:00:00.000000,{},
1.6.26B,2021-11-01 00:00:00.000000,{},
1.6.34,2021-11-25 00:00:00.000000,{},
1.6.42,2021-12-21 00:00:00.000000,{},
1.6.50,2022-01-17 00:00:00.000000,{},
1.6.50B,2022-01-27 00:00:00.000000,{},
1.6.58,2022-02-21 00:00:00.000000,{},
1.6.66,2022-03-21 00:00:00.000000,{},
1.6.66B,2022-03-29 00:00:00.000000,{},
1.6.72,2022-04-11 00:00:00.000000,{},
