id,season,team_name,players,staff
1,1,Obsidian Gaming,"[{""ign"": ""Jeo"", ""role"": ""S""}, {""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""Dian"", ""role"": ""Gold Lane""}, {""ign"": ""Pakbet"", ""role"": ""Middle""}, {""ign"": ""JeffQt4ever"", ""role"": ""Roamer""}, {""ign"": ""YoLo"", ""role"": ""Roamer""}]",[]
2,1,Aether Main,"[{""ign"": ""666"", ""role"": ""S""}, {""ign"": ""Coco"", ""role"": ""EXP Lane""}, {""ign"": ""Pein"", ""role"": ""Gold Lane""}, {""ign"": ""Yuji"", ""role"": ""Middle""}, {""ign"": ""YellyHaze"", ""role"": ""Roamer""}, {""ign"": ""Ribo"", ""role"": ""Roamer""}]",[]
3,1,Aether Valkyrie,"[{""ign"": ""Van"", ""role"": ""Roamer""}, {""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Ognimod"", ""role"": ""Gold Lane""}, {""ign"": ""Changu"", ""role"": ""Middle""}, {""ign"": ""L3bron"", ""role"": ""Roamer""}, {""ign"": ""EJhay"", ""role"": ""Roamer""}]",[]
4,1,Digital Devils Pro,"[{""ign"": ""Bluffzy"", ""role"": ""S""}, {""ign"": ""Yakou"", ""role"": ""EXP Lane""}, {""ign"": ""Pheww"", ""role"": ""Gold Lane""}, {""ign"": ""Eson"", ""role"": ""Middle""}, {""ign"": ""Dee"", ""role"": ""Roamer""}, {""ign"": ""Tets"", ""role"": ""Roamer""}]",[]
5,1,Obsidian Raven,"[{""ign"": ""S4ngmu"", ""role"": ""EXP Lane""}, {""ign"": ""Alkaem"", ""role"": ""Gold Lane""}, {""ign"": ""Mae"", ""role"": ""Middle""}, {""ign"": ""Burning"", ""role"": ""Roamer""}, {""ign"": ""Basha"", ""role"": ""Roamer""}]",[]
6,1,Invictus Godz,"[{""ign"": ""Kirito"", ""role"": ""EXP Lane""}, {""ign"": ""Vhen"", ""role"": ""Gold Lane""}, {""ign"": ""Vmpire"", ""role"": ""Middle""}, {""ign"": ""Vladimir"", ""role"": ""Roamer""}, {""ign"": ""Helena"", ""role"": ""Roamer""}]",[]
7,1,Vicious & Delicious,"[{""ign"": ""Kevv"", ""role"": ""EXP Lane""}, {""ign"": ""Jep"", ""role"": ""Gold Lane""}, {""ign"": ""Pauu"", ""role"": ""Middle""}, {""ign"": ""Boss"", ""role"": ""Roamer""}, {""ign"": ""Vino"", ""role"": ""Roamer""}]",[]
8,1,White Rascals,"[{""ign"": ""Inuzaki"", ""role"": ""EXP Lane""}, {""ign"": ""Gelido"", ""role"": ""Gold Lane""}, {""ign"": ""Kaizoku"", ""role"": ""Middle""}, {""ign"": ""Shingkalafu"", ""role"": ""Roamer""}, {""ign"": ""Yasu"", ""role"": ""Roamer""}]",[]
9,1,Digital Devils No Limit,"[{""ign"": ""Chico"", ""role"": ""EXP Lane""}, {""ign"": ""Danielle"", ""role"": ""Gold Lane""}, {""ign"": ""Jana"", ""role"": ""Middle""}, {""ign"": ""Yanyan"", ""role"": ""Roamer""}, {""ign"": ""Jieo"", ""role"": ""Roamer""}]",[]
10,1,Digital Devils Demon Kings,"[{""ign"": ""Link"", ""role"": ""EXP Lane""}, {""ign"": ""yb420"", ""role"": ""Gold Lane""}, {""ign"": ""Dysania"", ""role"": ""Middle""}, {""ign"": ""Crypt"", ""role"": ""Roamer""}, {""ign"": ""Pringles"", ""role"": ""Roamer""}]",[]
